               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,             0.05732,            0.044485,           0.0058987,             0.94662,             0.80619,             0.86511,             0.57069,            0.051681,            0.065126,           0.0053346,            0.007129,            0.007129,            0.007129
                  89,            0.057609,            0.044581,           0.0059025,             0.94396,             0.80788,             0.86512,             0.57341,            0.051565,            0.064838,           0.0053208,            0.007096,            0.007096,            0.007096
                  90,             0.05736,            0.043968,           0.0058774,             0.94758,             0.80533,             0.86475,             0.57354,            0.051608,            0.064461,           0.0053007,            0.007063,            0.007063,            0.007063
                  91,            0.057237,            0.044362,           0.0058725,             0.94741,             0.80618,             0.86471,             0.57204,            0.051613,            0.064957,           0.0053268,             0.00703,             0.00703,             0.00703
                  92,             0.05712,            0.043826,           0.0058718,             0.94911,             0.80593,             0.86578,             0.57219,            0.051641,            0.064986,           0.0053281,            0.006997,            0.006997,            0.006997
                  93,            0.056497,             0.04329,           0.0057479,             0.94779,             0.80652,             0.86591,             0.57221,            0.051625,            0.064954,           0.0053261,            0.006964,            0.006964,            0.006964
                  94,             0.05707,            0.043282,           0.0058503,             0.94564,             0.80693,             0.86626,              0.5741,             0.05152,            0.064643,             0.00531,            0.006931,            0.006931,            0.006931
                  95,            0.056749,            0.043496,           0.0058239,             0.94601,             0.80528,             0.86642,             0.57364,            0.051515,            0.065114,           0.0053197,            0.006898,            0.006898,            0.006898
                  96,            0.057128,            0.043872,           0.0058632,             0.94668,             0.80626,             0.86596,             0.57448,            0.051471,            0.064801,           0.0053039,            0.006865,            0.006865,            0.006865
                  97,             0.05705,            0.043802,           0.0058096,             0.94732,             0.80705,             0.86599,             0.57412,            0.051461,            0.065062,           0.0052907,            0.006832,            0.006832,            0.006832
                  98,            0.056818,            0.043464,           0.0058584,              0.9481,             0.80835,             0.86573,             0.57264,            0.051515,            0.065157,           0.0053011,            0.006799,            0.006799,            0.006799
                  99,            0.056803,            0.043272,           0.0058943,             0.94659,             0.81043,             0.86695,             0.57466,            0.051466,            0.064785,           0.0053029,            0.006766,            0.006766,            0.006766
                 100,            0.056464,             0.04373,           0.0057767,             0.94601,             0.80922,             0.86759,             0.57408,            0.051437,            0.064955,           0.0052919,            0.006733,            0.006733,            0.006733
                 101,              0.0569,            0.043829,           0.0058088,              0.9458,              0.8095,             0.86651,             0.57505,             0.05142,            0.064905,            0.005287,              0.0067,              0.0067,              0.0067
                 102,            0.056768,            0.043583,           0.0058188,             0.94833,             0.80772,              0.8673,             0.57651,            0.051249,            0.064779,           0.0052868,            0.006667,            0.006667,            0.006667
                 103,            0.056758,            0.043337,           0.0058661,             0.94772,             0.80722,             0.86591,             0.57406,            0.051309,            0.064823,           0.0052682,            0.006634,            0.006634,            0.006634
                 104,            0.056716,            0.043318,            0.005818,             0.94867,               0.807,             0.86697,              0.5757,            0.051325,            0.064754,            0.005274,            0.006601,            0.006601,            0.006601
                 105,             0.05652,            0.043487,           0.0057269,             0.94737,              0.8101,             0.86744,             0.57609,            0.051277,            0.064696,           0.0052687,            0.006568,            0.006568,            0.006568
                 106,            0.056486,            0.043099,           0.0057221,             0.94858,             0.80627,             0.86648,             0.57562,            0.051268,            0.064948,           0.0052782,            0.006535,            0.006535,            0.006535
                 107,             0.05652,            0.043458,           0.0058245,             0.94929,             0.80873,             0.86784,             0.57705,            0.051214,            0.064978,           0.0052715,            0.006502,            0.006502,            0.006502
                 108,            0.056364,            0.042997,            0.005795,             0.95193,             0.80727,             0.86999,             0.57843,            0.051184,            0.064844,           0.0052627,            0.006469,            0.006469,            0.006469
                 109,            0.056537,            0.043863,           0.0057927,             0.95053,             0.80681,             0.86798,             0.57716,            0.051193,            0.064791,           0.0052604,            0.006436,            0.006436,            0.006436
                 110,             0.05621,            0.043439,           0.0058081,             0.95099,             0.80971,             0.87097,             0.57868,            0.051073,            0.064753,           0.0052341,            0.006403,            0.006403,            0.006403
