               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.056946,            0.040162,           0.0057903,             0.95886,             0.77252,             0.85204,             0.57127,            0.051182,            0.058083,           0.0052568,            0.006898,            0.006898,            0.006898
                  96,            0.056697,            0.039673,           0.0057101,             0.95914,             0.77255,             0.85181,             0.56931,            0.051449,            0.058852,           0.0053053,            0.006865,            0.006865,            0.006865
                  97,            0.056979,            0.040547,           0.0057785,             0.95537,             0.77607,             0.85178,             0.57119,            0.051243,            0.058444,            0.005258,            0.006832,            0.006832,            0.006832
                  98,            0.056887,            0.039827,           0.0057982,             0.95746,             0.77584,             0.85001,             0.57004,            0.051338,            0.058442,           0.0052587,            0.006799,            0.006799,            0.006799
                  99,            0.056706,            0.040203,           0.0057981,             0.95922,             0.77444,             0.85215,             0.57191,            0.051319,            0.057812,           0.0052507,            0.006766,            0.006766,            0.006766
                 100,            0.056549,            0.039532,             0.00574,             0.96063,             0.77497,             0.85345,             0.57293,            0.051119,            0.058045,           0.0052245,            0.006733,            0.006733,            0.006733
                 101,            0.056887,            0.040577,           0.0057393,             0.95641,              0.7816,             0.85349,             0.57239,            0.051145,            0.057773,           0.0052755,              0.0067,              0.0067,              0.0067
                 102,            0.056547,            0.039522,            0.005729,             0.96294,             0.77432,             0.85326,             0.57369,            0.051104,            0.058135,           0.0052612,            0.006667,            0.006667,            0.006667
                 103,             0.05672,            0.039328,           0.0057646,             0.95875,               0.776,             0.85236,             0.57053,            0.051236,            0.058372,           0.0052435,            0.006634,            0.006634,            0.006634
                 104,            0.056566,            0.039741,           0.0057387,             0.96038,              0.7759,             0.85323,             0.57375,            0.051136,            0.058351,           0.0052615,            0.006601,            0.006601,            0.006601
                 105,            0.056474,            0.039746,           0.0056557,              0.9569,             0.77935,             0.85422,             0.57311,            0.051186,            0.058275,           0.0052537,            0.006568,            0.006568,            0.006568
                 106,            0.056337,            0.039546,           0.0056155,             0.95757,             0.77674,             0.85221,             0.57099,            0.051096,            0.058571,           0.0052593,            0.006535,            0.006535,            0.006535
                 107,            0.056315,            0.039582,           0.0057563,             0.96007,             0.77805,             0.85372,             0.57282,            0.051041,            0.058438,           0.0052415,            0.006502,            0.006502,            0.006502
                 108,            0.056587,            0.039775,           0.0057573,             0.96073,              0.7787,             0.85478,              0.5752,            0.051079,            0.058318,           0.0052535,            0.006469,            0.006469,            0.006469
                 109,            0.056497,            0.039879,           0.0057252,             0.96018,             0.77932,             0.85489,             0.57488,            0.051097,            0.058369,           0.0052628,            0.006436,            0.006436,            0.006436
                 110,            0.056305,            0.039549,           0.0057894,              0.9581,             0.78064,             0.85455,              0.5723,            0.051059,            0.058408,           0.0052143,            0.006403,            0.006403,            0.006403
                 111,            0.056036,            0.039017,           0.0057433,             0.96191,             0.77641,             0.85562,             0.57566,            0.050963,            0.058192,           0.0052551,             0.00637,             0.00637,             0.00637
                 112,            0.056313,             0.03968,           0.0057159,             0.95904,             0.77781,             0.85513,             0.57272,            0.051053,            0.058358,           0.0052449,            0.006337,            0.006337,            0.006337
                 113,            0.056072,            0.040076,           0.0057097,             0.96055,             0.77819,             0.85487,             0.57642,            0.050943,            0.057816,           0.0052391,            0.006304,            0.006304,            0.006304
