               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.049335,            0.037169,            0.004849,             0.96131,             0.77808,             0.85628,             0.57587,            0.045961,            0.056742,           0.0045966,            0.006139,            0.006139,            0.006139
                 119,            0.049612,            0.038076,           0.0049248,             0.96146,             0.77906,              0.8551,             0.57515,            0.045952,            0.056563,           0.0045847,            0.006106,            0.006106,            0.006106
                 120,            0.049158,            0.037156,           0.0048423,             0.96349,             0.77705,              0.8563,             0.57707,            0.045968,            0.056158,           0.0045707,            0.006073,            0.006073,            0.006073
                 121,            0.049827,            0.038028,           0.0049389,             0.96259,             0.77831,             0.85588,             0.57597,            0.045948,            0.056395,           0.0045851,             0.00604,             0.00604,             0.00604
                 122,            0.049304,            0.037859,           0.0048605,             0.96179,             0.77948,             0.85634,              0.5739,            0.045999,            0.056846,           0.0045911,            0.006007,            0.006007,            0.006007
                 123,            0.049305,            0.037463,           0.0048872,             0.96065,             0.78029,             0.85548,             0.57525,            0.045919,            0.056565,           0.0045956,            0.005974,            0.005974,            0.005974
                 124,            0.049593,            0.037731,           0.0048626,             0.96106,             0.77788,             0.85619,              0.5756,            0.045916,            0.056721,           0.0046047,            0.005941,            0.005941,            0.005941
                 125,              0.0494,            0.037902,           0.0048994,             0.96046,             0.78105,             0.85735,             0.57815,             0.04584,            0.056374,           0.0045861,            0.005908,            0.005908,            0.005908
                 126,            0.049249,             0.03806,           0.0048927,             0.96171,             0.78102,             0.85936,             0.57892,            0.045911,            0.056463,           0.0045892,            0.005875,            0.005875,            0.005875
                 127,            0.049489,            0.037615,           0.0049045,             0.96177,              0.7787,             0.85715,             0.57696,            0.045898,            0.056639,           0.0045976,            0.005842,            0.005842,            0.005842
                 128,            0.048956,            0.037138,           0.0048507,             0.96185,             0.77948,             0.85615,             0.57712,             0.04585,            0.056555,           0.0045953,            0.005809,            0.005809,            0.005809
                 129,            0.049145,            0.037435,           0.0048719,             0.96176,             0.78093,             0.85767,             0.57863,             0.04575,            0.056272,           0.0045757,            0.005776,            0.005776,            0.005776
                 130,            0.049138,            0.037216,           0.0048779,              0.9606,             0.77932,              0.8571,              0.5767,            0.045808,            0.056465,           0.0045917,            0.005743,            0.005743,            0.005743
                 131,            0.049209,            0.038062,           0.0048387,             0.96067,             0.77921,             0.85642,             0.57687,            0.045844,            0.056526,           0.0045957,             0.00571,             0.00571,             0.00571
                 132,            0.049306,            0.037446,           0.0048773,             0.96308,             0.78039,             0.85891,             0.57856,            0.045781,            0.056675,           0.0045736,            0.005677,            0.005677,            0.005677
                 133,             0.04908,            0.037742,            0.004904,             0.96147,             0.77992,              0.8576,             0.57751,            0.045807,            0.056804,           0.0045794,            0.005644,            0.005644,            0.005644
                 134,            0.048777,            0.036718,           0.0048425,              0.9628,             0.77881,             0.85852,             0.57863,            0.045789,            0.056566,           0.0045654,            0.005611,            0.005611,            0.005611
                 135,            0.049133,            0.037482,           0.0048538,             0.96327,             0.77865,             0.85881,             0.57873,            0.045765,            0.056487,           0.0045613,            0.005578,            0.005578,            0.005578
                 136,            0.048881,            0.036651,            0.004807,             0.96201,             0.78019,             0.85773,             0.57739,            0.045765,            0.056463,           0.0045552,            0.005545,            0.005545,            0.005545
                 137,            0.049219,            0.036916,           0.0048425,             0.96079,             0.78292,             0.85851,             0.57645,            0.045834,            0.056804,           0.0045731,            0.005512,            0.005512,            0.005512
                 138,            0.049134,            0.037276,           0.0048597,             0.96113,             0.78266,             0.85888,              0.5776,            0.045796,            0.056692,            0.004572,            0.005479,            0.005479,            0.005479
                 139,            0.048977,            0.037417,           0.0048564,             0.96358,             0.78076,             0.85917,             0.57951,            0.045706,            0.056403,           0.0045609,            0.005446,            0.005446,            0.005446
                 140,            0.049213,            0.037417,           0.0048629,             0.96205,             0.78273,             0.85945,              0.5795,            0.045698,            0.056503,           0.0045615,            0.005413,            0.005413,            0.005413
                 141,            0.048956,            0.036949,           0.0048486,             0.96087,             0.78209,             0.85958,             0.57904,            0.045742,            0.056445,           0.0045573,             0.00538,             0.00538,             0.00538
                 142,            0.048641,            0.036571,           0.0048431,             0.96155,             0.78239,             0.85861,             0.57806,            0.045759,            0.056551,           0.0045489,            0.005347,            0.005347,            0.005347
                 143,            0.048774,            0.036897,            0.004841,             0.96292,             0.78223,              0.8592,             0.57845,            0.045731,            0.056563,           0.0045445,            0.005314,            0.005314,            0.005314
                 144,            0.048528,            0.036997,           0.0048069,             0.96329,             0.78243,             0.85937,             0.57901,            0.045723,            0.056745,           0.0045508,            0.005281,            0.005281,            0.005281
                 145,            0.048816,            0.036886,           0.0048488,             0.96346,             0.78243,             0.85943,             0.57948,            0.045706,            0.056753,           0.0045391,            0.005248,            0.005248,            0.005248
                 146,             0.04904,            0.037512,           0.0048331,             0.96311,             0.78265,             0.85916,             0.57841,            0.045712,            0.056604,           0.0045367,            0.005215,            0.005215,            0.005215
                 147,            0.048812,            0.036839,           0.0048661,             0.96212,             0.78407,             0.86039,              0.5802,            0.045663,            0.056516,           0.0045387,            0.005182,            0.005182,            0.005182
                 148,            0.048789,            0.037541,           0.0048847,             0.96282,             0.78322,             0.86052,             0.58093,            0.045657,            0.056455,           0.0045409,            0.005149,            0.005149,            0.005149
                 149,            0.048448,            0.036437,           0.0048223,             0.96397,              0.7827,             0.86085,             0.58052,            0.045689,            0.056557,           0.0045417,            0.005116,            0.005116,            0.005116
                 150,            0.048432,            0.036775,           0.0047938,             0.96266,             0.78242,             0.86018,             0.58014,            0.045683,            0.056596,           0.0045349,            0.005083,            0.005083,            0.005083
                 151,            0.048691,            0.036818,           0.0048167,             0.96352,             0.78039,             0.85968,             0.58019,            0.045672,            0.056637,           0.0045378,             0.00505,             0.00505,             0.00505
                 152,            0.048511,            0.036516,           0.0047666,             0.96508,              0.7802,             0.86013,             0.57964,            0.045676,            0.056716,           0.0045436,            0.005017,            0.005017,            0.005017
                 153,            0.048573,            0.036785,           0.0048401,             0.96436,              0.7806,             0.86001,             0.57987,            0.045644,            0.056647,           0.0045291,            0.004984,            0.004984,            0.004984
                 154,            0.048441,            0.036447,           0.0047989,             0.96473,             0.78191,             0.86122,             0.58056,            0.045598,            0.056622,           0.0045152,            0.004951,            0.004951,            0.004951
                 155,            0.048741,            0.036633,           0.0048957,             0.96562,             0.78208,             0.86128,             0.58059,            0.045588,            0.056716,            0.004519,            0.004918,            0.004918,            0.004918
                 156,            0.048406,            0.035995,           0.0047993,             0.96561,              0.7819,             0.86175,              0.5812,            0.045577,            0.056756,           0.0045195,            0.004885,            0.004885,            0.004885
                 157,            0.048601,            0.036354,           0.0048368,             0.96293,              0.7822,             0.86126,             0.58107,             0.04559,            0.056948,           0.0045321,            0.004852,            0.004852,            0.004852
                 158,            0.048264,            0.036598,           0.0048181,             0.96419,             0.78211,             0.86184,             0.58091,            0.045605,            0.057021,           0.0045399,            0.004819,            0.004819,            0.004819
                 159,            0.048204,            0.036256,           0.0047985,             0.96459,             0.78188,             0.86136,             0.58089,            0.045606,             0.05695,            0.004536,            0.004786,            0.004786,            0.004786
                 160,            0.047999,            0.036428,           0.0048082,             0.96478,             0.78172,             0.86118,             0.58159,            0.045583,            0.056972,           0.0045299,            0.004753,            0.004753,            0.004753
